	filename	sentence_nr	sentence	matches	sentence_density	paragraph_density
355840	Retif_AntiJustine	718	---Et pour ton cul, tes tétons, ta bouche, tes yeux, ta taille voluptueuse, ton tour provocant, ta jambe, ton pied foutatif, ton âme naïve et virginale, malgré tout ce que l'on a fait pour te rendre putain !	16	0.421052631578947	0.130434782608696
135836	Florian_Estelle	1951	ses longs cheveux noirs tombaient en tresses sur son armure;	4	0.4	0.114942528735632
40551	Benoist_Elisabeth	117	, les yeux vifs tendres, la taille au-dessus de la médiocre.	4	0.4	0.121212121212121
93197	Diderot_Jacques	2041	JACQUES Une grande brune de dix-huit ans faite au tour, grands yeux noirs, petite bouche vermeille, beaux bras, jolies mains...	8	0.4	0.28125
359089	Retif_AntiJustine	3967	« Vous avez un beau con... une superbe motte... un ventre de pucelle... un cul d'albâtre... des tétons blancs comme neige... un col dégagé... des lèvres voluptueuses... de belles dents... les plus beaux yeux...	14	0.4	0.120192307692308
273657	Louvet_Fin	4833	et cette longue chevelure, et ce visage plein d'attraits!	4	0.4	0.073619631901841
50109	Bernardin_Paul	1836	un rouge vif colorait ses joues pâles, et ses yeux n'osaient plus s'arrêter sur les siens.	7	0.388888888888889	0.074766355140187
350887	Puget_Periphas	1670	Soutiens ton voie hardi, soutiens ton sublime langage.	3	0.375	0.119402985074627
339083	Popeliniere_Daira	3427	me retint serré sur sa poitrine long-temps.	3	0.375	0.049180327868853
140457	Genlis_Adele	890	Mon charmant petit oiseau, mon doux oiseau! ...	3	0.375	0.176470588235294
337883	Popeliniere_Daira	2227	il veut ta fille, ou ta tête, etamp;	3	0.375	0.033980582524272
332550	Nerciat_Felicia	2557	son visage devint pâle, livide... elle s'évanouit.	3	0.375	0.066666666666667
359360	Retif_AntiJustine	4238	elle.---Comme tu as la voix douce, belle mariée !	3	0.375	0.071428571428572
230891	Lesuire_Aventurier	12922	J'étais nu, exactement nu, fort durement couché.	3	0.375	0.060109289617486
99291	Diderot_Neveu	98	J'ai le front grand et ridé, l'œil ardent, le nez saillant, les joues larges, le sourcil noir et fourni, la bouche bien fendue, la lèvre rebordée, et la face carrée.	12	0.375	0.280701754385965
209492	Lagrave_Zabeth	3834	Ses gros yeux noirs la contemploim avec colère.	3	0.375	0.034602076124568
206839	Lagrave_Zabeth	1181	}aaux cheveux blonds, et sa figure était {??	3	0.375	0.08411214953271
105253	Diderot_Religieuse	3759	mes cheveux tombaient épars sur mes épaules découvertes ;	3	0.375	0.071803852889667
413043	Rousseau_Emile	13703	à une grande belle blonde aux yeux languissants.	3	0.375	0.044444444444445
433859	Rousseau_Julie	14507	ton seul regard la ferait rentrer en terre;	3	0.375	0.033613445378151
130837	Dulaurens_Imirce	3417	ton Achmenes sur son grand cheval, ton Geduc	3	0.375	0.067460317460318
357319	Retif_AntiJustine	2197	fais-moi convulsiver dans ton joli con !...	3	0.375	0.098591549295775
433583	Rousseau_Julie	14231	tu ris, mais ton rire pénétré l’âme;	3	0.375	0.074468085106383
128790	Dulaurens_Imirce	1370	Ta belle cave, lui dis-je, va-telle	3	0.375	0.07
423970	Rousseau_Julie	4618	-tu point dans ton sein ses tendres gémissements?	3	0.375	0.030120481927711
419500	Rousseau_Julie	148	Vos yeux deviennent sombres, rêveurs, fixés en terre;	3	0.375	0.04635761589404
305952	Mirabeau_Conversion	1540	Rose est plus douce, plus tendre, mais gaie.	3	0.375	0.060606060606061
152566	Genlis_Chevaliers	530	ta main tremblante pressera celle d'un ami;	3	0.375	0.032352941176471
46672	Benouville_Pensees	1212	cela est assurément fort agréable et fort instructif;	3	0.375	0.045454545454546
306301	Mirabeau_Conversion	1889	Et le plus joli petit cul de remuer ;	3	0.375	0.056
305353	Mirabeau_Conversion	941	son visage est enluminé, ses gros yeux ronds sont surmontés d'un sourcil noir, épais, dur...	6	0.375	0.042056074766355
4492	Anonyme_Zoloe	194	bras nerveux, large dos, figure vermeille, avait précédé le nouvel amant comme substitut aux fonctions matrimoniales.	6	0.375	0.140350877192982
49667	Bernardin_Paul	1394	C'était un grand homme sec, olivâtre, aux yeux enfoncés, et aux sourcils noirs et joints.	6	0.375	0.084558823529412
309168	Mirabeau_Rideau	1709	Nos joues étaient colorées, nos lèvres brûlantes et vermeilles, nos yeux animés et nos seins palpitants.	6	0.375	0.052295918367347
425477	Rousseau_Julie	6125	Ne sens-tu pas tes yeux, tes joues, ta bouche, ton sein, pressés, comprimés, accablés de mes ardet baisers?	7	0.368421052631579	0.045738045738046
101442	Diderot_Neveu	2249	des yeux, des pieds, une peau, des joues, des jambes de cerf, des mains et des bras à modeler.	7	0.368421052631579	0.068403908794788
104600	Diderot_Religieuse	3106	« Mais, qu'elle a la peau blanche et douce le bel embonpoint le beau cou le beau chignon ...	7	0.368421052631579	0.047752808988764
53555	Berquin_Enfants	2033	je veux voir ta petite tête, ton long corsage et tes grandes ailes bigarrées de mille et mille couleurs.	7	0.368421052631579	0.183673469387755
308191	Mirabeau_Rideau	732	Une taille fine et bien prise, un pied mignon surmonté d'une jambe déliée et d'une cuisse arrondie, des fesses dont les pommettes étaient légèrement colorées, des épaules, un cou, une chute de reins charmante et la fraîcheur d'Hébé.	15	0.365853658536585	0.096296296296296
360110	Retif_AntiJustine	4988	Montre-moi ton petit con, que je décharge à ton intention...	4	0.363636363636364	0.075
359316	Retif_AntiJustine	4194	Le sixième et dernier était grand, voûté, noir, bancroche, roux, chassieux ;	4	0.363636363636364	0.095238095238095
437960	Sade_120	190	Les plus beaux cheveux noirs retombant en boucles naturels par dessus	4	0.363636363636364	0.058554138043834
359002	Retif_AntiJustine	3880	Il me baisa d'abord pied, jambe, cul, con et tétons.	4	0.363636363636364	0.081395348837209
359296	Retif_AntiJustine	4174	Il avait un long nez qui touchait à son menton, les joues creuses, l'œil vif, des verrues noires sur le corps.	8	0.363636363636364	0.062015503875969
439133	Sade_120	1363	les trous de culs frais et délicieux de leurs petites jouissances	4	0.363636363636364	0.039870689655173
75181	Cottin_Claire	1448	ma bouche presse ce fauteuil où ton bras reposa long-temps ;	4	0.363636363636364	0.0368
358695	Retif_AntiJustine	3573	Ta bouche ! me disait-il, ta bouche... ou je t'encule !	4	0.363636363636364	0.038327526132404
306962	Mirabeau_Conversion	2550	ses grands yeux bleus ne demandent qu'à mourir pour ressusciter...	4	0.363636363636364	0.075471698113208
134162	Florian_Estelle	277	Son tronc vénérable est environné d'un double siège de gazon.	4	0.363636363636364	0.076923076923077
375867	Reveroni_Pauliska	2111	De ta main que j'embrasse Noircir peau blanche à moi.	4	0.363636363636364	0.178571428571429
181838	Kimber_Thompson	6336	Il avait les yeux creusés, le visage maigre pâle, ne respiroit qu'avec peine.	5	0.357142857142857	0.107843137254902
96071	Diderot_Jacques	4915	Le père Hudson avait la figure la plus intéressante : un grand front, un visage ovale, un nez aquilin, de grands yeux bleus, de belles joues larges, une belle bouche, de belles dents, le sourire le plus fin, une tête couverte d'une forêt de cheveux blancs, qui ajoutaient la dignité à l'intérêt de sa figure ;	20	0.357142857142857	0.051923076923077
62884	Charriere_Femmes	369	son nez est aquilin, et les plus beaux cheveux blonds ornent sa tête ovale.	5	0.357142857142857	0.100917431192661
206829	Lagrave_Zabeth	1171	Il avait une petite taille ramassée et commune, une figure courte, le nez retroussé;	5	0.357142857142857	0.154639175257732
305402	Mirabeau_Conversion	990	le bras et la main sont trop maigres, la jambe bien, le pied charmant.	5	0.357142857142857	0.089686098654709
307119	Mirabeau_Conversion	2707	Cinq pieds quatre pouces, pieds nus, le plus beau corps du monde, une gorge ravissante, le bras, la main potelée ;	7	0.35	0.166666666666667
3901	Anonyme_Etourdi	2022	la bouche proportionnée, les lèvres tant soit peu grosses, des dents fort blanches, un menton ordinaire, et beaucoup de barbe ; voilà l'individu.	8	0.347826086956522	0.155172413793103
329584	Nerciat_Etourdi	2022	la bouche proportionnée, les lèvres tant soit peu grosses, des dents fort blanches, un menton ordinaire, et beaucoup de barbe ; voilà l'individu.	8	0.347826086956522	0.155172413793103
58453	Cazotte_Diable	1469	Un teint plus qu'olivâtre, des yeux creux et ardents, une bouche enfoncée, un nez mince et démesuré qui, partant du haut de la tête, vient en se recourbant toucher au menton ;	11	0.34375	0.183673469387755
436942	Sacy_Amours	169	ses faibles yeux sont fatigués d'un éclat importun;	3	0.333333333333333	0.054455445544555
205621	Lagrave_Sophie	4222	une sur vos lèvres pour presser sa bouche charmante,	3	0.333333333333333	0.056338028169014
466614	Sade_Philosophie	1707	-les sur ce beau sein, sur ces belles fesses.	3	0.333333333333333	0.101449275362319
358490	Retif_AntiJustine	3368	Votre beau con, votre beau cul, vos blancs tétins, m'avaient mis comme un enragé ;	5	0.333333333333333	0.06282722513089
308170	Mirabeau_Rideau	711	mes fesses, mon petit con, tout était livré à ses mains brûlantes.	4	0.333333333333333	0.078651685393259
459417	Sade_Justine	62	ses beaux cheveux négligemment repliés sous un grand bonnet ;	3	0.333333333333333	0.095890410958904
304715	Mirabeau_Conversion	303	Je trouve une gorge d'un rouge brun, mais dure comme marbre, un corps superbe, une motte en dôme, et la plus belle perruque...	8	0.333333333333333	0.08
128345	Dulaurens_Imirce	925	le plaisir, plus grand que la belle cave, souriait à ma volonté.	4	0.333333333333333	0.082872928176796
359146	Retif_AntiJustine	4024	S'écriait-il, ton con satiné pince le vit !	3	0.333333333333333	0.105263157894737
484601	Souza_Adele	236	Sa figure est belle, son maintien modeste et doux.	3	0.333333333333333	0.0625
425241	Rousseau_Julie	5889	c’est un certain accent dur, aigre, interrogatif, impérieux, moqueur et plus fort que celui d’un homme.	6	0.333333333333333	0.064171122994653
15753	Arnaud_Sentiment	110	son beau teint se colora d'une nouvelle rougeur.	3	0.333333333333333	0.058823529411765
409324	Rousseau_Emile	9984	ta gloire avec ton corps aux champs de Philippes.	3	0.333333333333333	0.037383177570094
360320	Retif_AntiJustine	5198	Ce qui, avec ses grands yeux à longs cils, la rendait charmante...	4	0.333333333333333	0.059347181008902
406534	Rousseau_Emile	7194	doux qui croit au bas ses joues brunit etamp;	3	0.333333333333333	0.037313432835821
136765	Florian_Galatee	285	sa taille seule rendait cet habit charmant: ses longs cheveux blonds flottaient sur ses épaules;	5	0.333333333333333	0.098591549295775
403518	Rousseau_Emile	4178	de force à la continuelle impression des corps durs, rendent la peau rude, calleuse, etamp;	5	0.333333333333333	0.087248322147651
396089	Riccoboni_MylordRivers	1785	et lui tendant une main, pressant tendrement la sienne:	3	0.333333333333333	0.10126582278481
197534	Laclos_Liaisons	5421	"la bouche céleste a même prononcé : ""Eh bien !"	3	0.333333333333333	0.07488986784141
308509	Mirabeau_Rideau	1050	ses fesses, sa motte, son con, essuyèrent mes lutineries;	3	0.333333333333333	0.048732943469786
53808	Berquin_Enfants	2286	Cette attention délicate double le prix de ton présent.	3	0.333333333333333	0.086206896551724
100193	Diderot_Neveu	1000	là, le nez, la bouche, le front, les yeux, entrent en jeu ;	4	0.333333333333333	0.062091503267974
438030	Sade_120	260	Sa bouche était belle, fraîche encore et parfaitement entière ;	3	0.333333333333333	0.086864406779661
92536	Diderot_Jacques	1380	du cocher noir, les mains liées derrière le dos ;	3	0.333333333333333	0.052238805970149
74460	Cottin_Claire	727	Cette bouche est fraîche et voluptueuse comme la sienne ;	3	0.333333333333333	0.032594524119948
462863	Sade_Justine	3508	Son nez était aquilin, étroit, serré du haut, et couronné de deux sourcils d'ébène ;	5	0.333333333333333	0.105145413870246
447428	Sade_Aline	5153	Zilia est grande, sa taille est souple et dégagée, sa peau d’une blancheur éblouissante;	5	0.333333333333333	0.09726443768997
152288	Genlis_Chevaliers	252	on voyait sur le visage pâle, abattu d'Olivier	3	0.333333333333333	0.048732943469786
63705	Charriere_Femmes	1190	Quels yeux! quel accent! quel doux son de voix!	3	0.333333333333333	0.076923076923077
355586	Retif_AntiJustine	464	» Touché, je la baisai des pieds à la tête, soulier, jambe, front, œil, bouche, cou, tétons, cuisses, cul, enfin motte,	7	0.333333333333333	0.096969696969697
443575	Sade_Aline	1300	Sophie a comme ton Aline, ces superbes cheveux châtains	3	0.333333333333333	0.031446540880503
101355	Diderot_Neveu	2162	il est immobile, les bras pendants, les jambes parallèles ;	3	0.333333333333333	0.08125
266689	Louvet_Annee	7159	je me jetai à plat ventre derrière une charmille.	3	0.333333333333333	0.030233227756983
266637	Louvet_Annee	7107	tourne-toi vers ton amant, montre-moi ton visage adoré.	3	0.333333333333333	0.034922133081642
461648	Sade_Justine	2293	elle était grosse de quatre mois, une figure ovale, un peu triste, de grands yeux remplis d'intérêt, très pâle, une santé délicate, une voix tendre, et peu de fraîcheur ;	10	0.333333333333333	0.227272727272727
2052	Anonyme_Etourdi	173	Ne taille fine et légère, un port noble, un extérieur éveillé, des yeux vifs et tendres, une bouche qui, malgré la petitesse, laisse voir des dents plus blanches que l'ivoire.	10	0.32258064516129	0.139705882352941
327735	Nerciat_Etourdi	173	Ne taille fine et légère, un port noble, un extérieur éveillé, des yeux vifs et tendres, une bouche qui, malgré la petitesse, laisse voir des dents plus blanches que l'ivoire.	10	0.32258064516129	0.139705882352941
447676	Sade_Aline	5401	, leur bouche un peu grande, mais très-fraîche, leur peau fine et blanche, leurs cheveux superbes et presque tous du plus beau brun du monde.	8	0.32	0.100478468899522
325832	Nerciat_Aphrodites	8408	une face vermeille, à barbe bleue,... dardant de ses grands yeux noirs les éclairs de la luxure et de la vigueur.	7	0.318181818181818	0.047422680412371
185467	LaPlace_Collection	187	Sa bouche était belle, ses lèvres fines et vermeilles, quoique presque tous les Noirs les aient grosses et recourbées vers le menton.	7	0.318181818181818	0.134146341463415
464845	Sade_Justine	5490	Aux teintes livides de ses joues d'albâtre succédaient les roses de son âge, flétries par autant de chagrins.	6	0.31578947368421	0.042328042328042
470132	Segur_Correspondance	1412	Elle est grasse, le plus beau teint du monde, une gorge admirable, les yeux très-beaux, la bouche agréable.	6	0.31578947368421	0.047244094488189
3899	Anonyme_Etourdi	2020	ma taille est svelte et bien prise : mes cheveux sont noirs, en grande quantité, et bien plantés sur un front étroit, au bas duquel règnent deux sourcils fort noirs et bien arqués.	10	0.3125	0.155172413793103
329582	Nerciat_Etourdi	2020	ma taille est svelte et bien prise : mes cheveux sont noirs, en grande quantité, et bien plantés sur un front étroit, au bas duquel règnent deux sourcils fort noirs et bien arqués.	10	0.3125	0.155172413793103
306973	Mirabeau_Conversion	2561	sa main caressait une gorge d'albâtre, elle contemplait tous ses charmes avec un doux sourire ;	5	0.3125	0.087912087912088
94435	Diderot_Jacques	3279	c'était une femme grande et replète, ingambe, de bonne mine, pleine d'embonpoint, la bouche un peu grande, mais de belles dents, des joues larges, des yeux à fleur de tête, le front carré, la plus belle peau, la physionomie ouverte, vive et gaie, les bras un peu forts, mais les mains superbes, des mains à peindre ou à modeler.	19	0.311475409836066	0.080691642651297
413876	Rousseau_Emile	14536	mais on ne saurait avoir une taille mieux prise, un plus beau teint, une main plus blanche, un pied plus mignon, un regard plus doux, une physionomie plus touchante.	9	0.310344827586207	0.139130434782609
437898	Sade_120	128	Il n'offrait presque plus qu'un squelette, il était grand, sec, mince, des yeux bruns et éteintes, une bouche livide et malsaine, le menton élevé, le nez long.	9	0.310344827586207	0.032399780340472
349924	Puget_Periphas	707	Une foule de serpent forment sa chevelure: ses yeux sont creux, hagards etamp;	4	0.307692307692308	0.069264069264069
331333	Nerciat_Felicia	1340	De grands traits chargés de gros yeux brusques, saillants, bordés de fossés creux ;	4	0.307692307692308	0.148514851485149
362259	Retif_Paysanne	1659	-toi un gros homme rond, tout d'or des pieds à la tête ;	4	0.307692307692308	0.074074074074074
437934	Sade_120	164	Durcet est âgé de 53 ans, il est petit, court, gros, fort épais, une figure agréable et fraiche, la peau très blanche, tout le corps et principalement les hanches et les fesses absolument comme une femme, son cul frais, gras, ferme et petite, mais excessivement ouvert par l'habitude de la Sodomie.	16	0.307692307692308	0.180722891566265
128396	Dulaurens_Imirce	976	» Je vis deux grands animaux attachés à une petite cave fort jolie ;	4	0.307692307692308	0.064
206523	Lagrave_Zabeth	865	La plus jolie taille et la plus jolie figure étaient ses moindres agrément.	4	0.307692307692308	0.030373831775701
307627	Mirabeau_Rideau	168	ses yeux étaient plus vifs, son teint plus coloré, ses lèvres plus brûlantes.	4	0.307692307692308	0.075675675675676
355518	Retif_AntiJustine	396	Elle avait une motte superbe, ombragée d'un poil noir, doux et soyeux.	4	0.307692307692308	0.063157894736842
224625	Lesuire_Aventurier	6656	Quelle taille! me disais-je, quelle “figure angélique! quel air noble dé“cent!	4	0.307692307692308	0.036414565826331
438369	Sade_120	599	, elle a 24 ans, grasse, potelée, de beaux yeux bruns, un joli nez ;	4	0.307692307692308	0.082191780821918
129280	Dulaurens_Imirce	1860	Dans les provinces unies, une masse de chair prodigieusement molle, deux énormes tétons, deux gros bras exactement plats, font tourner une tête hollandaise;	7	0.304347826086956	0.116071428571429
424316	Rousseau_Julie	4964	Tu vas habiter de grandes villes, où ta figure et ton âge, encore plus que ton mérite, tendront mille embûches à ta fidélité;	7	0.304347826086956	0.054662379421222
309719	Mirabeau_Rideau	2260	Ton caractère, ton humeur, ton âme vinrent sans déguisement se montrer à moi et se joindre à ta figure charmante;	6	0.3	0.058823529411765
206830	Lagrave_Zabeth	1172	deux gros yeux noirs très-saillans roulaient dans sa tête;	3	0.3	0.154639175257732
357274	Retif_AntiJustine	2152	Comme elle trémousse des fesses, la céleste petite amie !...	3	0.3	0.051181102362205
371336	Retif_Paysanne	10736	viens la pénétrer, nous pénétrer tous de ta précieuse innocence...	3	0.3	0.054838709677419
331556	Nerciat_Felicia	1563	La fausse Éléonore me serra la main : je me contraignis.	3	0.3	0.096774193548387
306672	Mirabeau_Conversion	2260	ce mouvement double de tête et de cul est impayable.	3	0.3	0.133333333333333
308216	Mirabeau_Rideau	757	mes bras, mes jambes, ma tête tombèrent de toutes parts;	3	0.3	0.065217391304348
240194	Lesuire_Crime	5432	Hé bien, pour ta punition, apprenti ton malheur ton crime.	3	0.3	0.125
313009	Morelly_Naufrage	2163	elle la pose sur le sein d'albâtre de Zavaher.	3	0.3	0.04945054945055
328018	Nerciat_Etourdi	456	a le maintien froid, l'esprit dur, le sang chaud.	3	0.3	0.172413793103448
226548	Lesuire_Aventurier	8579	car j'avais la voix éteinte par un gros rhume.	3	0.3	0.050480769230769
275148	Maistre_Voyage	542	nous faisions, ma rose et moi, une fort triste figure.	3	0.3	0.071428571428572
269931	Louvet_Fin	1107	D'une bouche avide il pressait les lis d'un bras plus doux que l'ivoire, et d'une main caressante il serrait doucement les plus jolis genoux du monde.	9	0.3	0.048611111111111
197273	Laclos_Liaisons	5160	des yeux toujours baissés, et si gros, et si battus !	3	0.3	0.040540540540541
185463	LaPlace_Collection	183	Ses yeux étaient grands, bien coupés, extrêmement vifs et perçant.	3	0.3	0.134146341463415
195776	Laclos_Liaisons	3663	Ma belle amie, le doux regard était fixé sur moi ;	3	0.3	0.08
351497	Puget_Periphas	2280	Un tein frais, des yeux vifs, un port majestueux annonçaient le doux espoir qui flattait le cœur de la reine.	6	0.3	0.073359073359073
119	Abbes_Voyage	119	Pavillon tenait une posture agréable et naturelle, mais sans noblesse.	3	0.3	0.07089552238806
441461	Sade_120	3691	Il lui casse un doigt de la main, quelquefois plusieurs.	3	0.3	0.048883604174924
404511	Rousseau_Emile	5171	doux, de voir un joli enfant, l'œil vif etamp;	3	0.3	0.043859649122807
2335	Anonyme_Etourdi	456	a le maintien froid, l'esprit dur, le sang chaud.	3	0.3	0.172413793103448
48801	Bernardin_Paul	528	son nez était long et sa bouche un peu grande...	3	0.3	0.119402985074627
53353	Berquin_Enfants	1831	Il était fort grand, grand comme tout mon chapeau rabattu.	3	0.3	0.034257748776509
62883	Charriere_Femmes	368	ses yeux d'un bleu foncé sont doux et brillants;	3	0.3	0.100917431192661
127005	Ducray_Cinquante	4234	oui, je suis ta mère, ta bonne, ta malheureuse mère!	3	0.3	0.067669172932331
127612	Dulaurens_Imirce	192	Dieux quelle pâleur se répand sur ton teint la mort...	3	0.3	0.05625
130733	Dulaurens_Imirce	3313	Manette mit ses belles lèvres au derrière du père Xan	3	0.3	0.067307692307692
131267	Dulaurens_Imirce	3847	Oui, dit Javotte, voilà une belle face de cul grillé;	3	0.3	0.049689440993789
135435	Florian_Estelle	1550	Ses yeux secs étaient fixés sur Rose sans la voir;	3	0.3	0.150943396226415
386648	Riccoboni_LettresFanni	995	Ton visage est plus noble, plus beau que celui-là?	3	0.3	0.043478260869565
399593	Rousseau_Emile	253	les jambes allongées, les bras pendants à côté du corps;	3	0.3	0.064748201438849
49580	Bernardin_Paul	1307	ses yeux bleus et ses lèvres de corail brillaient du plus tendre éclat sur la fraîcheur de son visage : ils souriaient toujours de concert quand elle parlait ;	8	0.296296296296296	0.083526682134571
309820	Mirabeau_Rideau	2361	Valfay releva ces habits noirs qui faisaient briller l'éclat et la blancheur de tes fesses charmantes;	5	0.294117647058823	0.111111111111111
357977	Retif_AntiJustine	2855	Minonne se retourna, mit ses fesses d'albâtre sur ce con noir, et me présenta son con.	5	0.294117647058823	0.214285714285714
103640	Diderot_Religieuse	2146	elles étaient debout sur une même ligne, le visage sombre, les lèvres serrées et les yeux fermés.	5	0.294117647058823	0.03899721448468
223031	Lesuire_Aventurier	5062	sa peau, plus blanohe que l'albâtre; nuancée d'une tendre couleur de roses, éblouissoit mes yeux.	5	0.294117647058823	0.059171597633136
197609	Laclos_Liaisons	5496	cette voix si tendre ! et cette main serrée ! et pendant ce temps, elle projetait de me fuir !	5	0.294117647058823	0.1
497464	Voltaire_Princesse	174	Son bec était couleur de rose, et semblait tenir quelque chose de la belle bouche de Formosante.	5	0.294117647058823	0.08411214953271
104943	Diderot_Religieuse	3449	elle trouvait que j'avais l'haleine pure, les dents blanches, et les lèvres fraîches et vermeilles.	5	0.294117647058823	0.098039215686275
477624	Segur_Correspondance	8904	je le suis très-fort: mes yeux sont d'un gris brun jaune, le tour de ma bouche maigri et marqué, pâle et abattue.	7	0.291666666666667	0.048611111111111
50390	Bernardin_Paul	2117	Sa taille légère et élevée se dessinait parfaitement sous son corset, et ses cheveux blonds, tressés à double tresse, accompagnaient admirablement sa tête virginale.	7	0.291666666666667	0.091324200913242
307650	Mirabeau_Rideau	191	elle n'avait de régulier qu'une bouche très bien dessinée, des lèvres vermeilles, les dents petites, d'un bel émail et parfaitement rangées.	7	0.291666666666667	0.240740740740741
171365	Gorjy_Voyage	98	Il avait les jambes nues, une moitié de veste sur les épaules, un bonnet rouge, duquel ses cheveux s'échappaient par grosses boucles . .	7	0.291666666666667	0.092783505154639
377080	Reveroni_Pauliska	3324	» Je baissai les yeux pendant quelques instants, quelle fut ma surprise en relevant mes regards sur lui, de lui trouver la peau tendue, le visage plein Ses joues creuses avaient disparu, son air paraissait plus vif... «	11	0.289473684210526	0.035294117647059
309775	Mirabeau_Rideau	2316	Je repris ton petit con, j'y enfonçai le doigt d'une main tandis que je te branlais de l'autre.	6	0.285714285714286	0.169491525423729
149041	Genlis_Adele	9474	Elle a un petit visage absolument rond, des traits délicats, une mine très-enfantine;	4	0.285714285714286	0.097826086956522
442313	Sade_Aline	38	Ce petit homme possédait un fort grand pied affublé sur de hauts talons, au moyen desquels s’appuyaient deux jambes énormes.	6	0.285714285714286	0.048571428571429
376969	Reveroni_Pauliska	3213	Cet être aux yeux étincelant, à la face blême, me fixe, pose son index aufront,commepour m'indiquer un souvenir menaçant ;	6	0.285714285714286	0.06046511627907
4395	Anonyme_Zoloe	97	Elle porte sur un corps superbe, élevé, une tête noble et pleine de grâces.	4	0.285714285714286	0.074534161490683
223623	Lesuire_Aventurier	5654	“elle m'a tendu ses bras en tremblant d'une “douce joie.	4	0.285714285714286	0.042801556420234
475298	Segur_Correspondance	6578	alors Isessé vit la plus jolie jambe et le plus joli pied du monde;	4	0.285714285714286	0.109090909090909
237195	Lesuire_Crime	2433	De ta petite sphère, tu dois lever, avec peine, vers moi, ton regard ebloui.	4	0.285714285714286	0.042372881355932
307648	Mirabeau_Rideau	189	C'était une grande fille très bien faite, entre dix-neuf et vingt ans: belle gorge, fort blanche, d'une figure revenante	6	0.285714285714286	0.240740740740741
296273	Mercier_An	153	Quand je me levai, mon front était sillonné de rides, mes cheveux étaient blanchis	4	0.285714285714286	0.107784431137725
